gender,age,marital_status,qualification,smoke,smoke_numerical
Male,38,Divorced,No Qualification,No,0
Female,42,Single,No Qualification,Yes,1
Male,40,Married,Degree,No,0
Female,40,Married,Degree,No,0
Female,39,Married,GCSE/O Level,No,0
Female,37,Married,GCSE/O Level,No,0
Male,53,Married,Degree,Yes,1
Male,44,Single,Degree,No,0
Male,40,Single,GCSE/CSE,Yes,1
Female,41,Married,No Qualification,Yes,1
Male,72,Widowed,No Qualification,No,0
Male,49,Married,No Qualification,No,0
Male,29,Married,Degree,No,0
Female,79,Widowed,No Qualification,No,0
Male,25,Single,Degree,No,0
Female,27,Single,Degree,No,0
Female,30,Single,Degree,No,0
Male,47,Divorced,No Qualification,No,0
Female,69,Single,Other/Sub Degree,No,0
Male,55,Married,No Qualification,No,0
Female,34,Married,GCSE/CSE,Yes,1
Female,36,Married,GCSE/O Level,Yes,1
Female,56,Married,No Qualification,Yes,1
Male,71,Divorced,No Qualification,No,0
Female,38,Married,No Qualification,No,0
Female,79,Married,No Qualification,No,0
Female,58,Divorced,No Qualification,Yes,1
Female,69,Married,No Qualification,No,0
Male,83,Widowed,No Qualification,No,0
Female,73,Widowed,No Qualification,No,0
Female,42,Married,GCSE/O Level,Yes,1
Female,31,Married,GCSE/CSE,Yes,1
Male,26,Single,GCSE/CSE,No,0
Female,27,Separated,Degree,No,0
Female,57,Married,Higher/Sub Degree,No,0
Female,30,Married,ONC/BTEC,No,0
Female,22,Single,A Levels,No,0
Female,78,Widowed,No Qualification,Yes,1
Female,49,Married,ONC/BTEC,No,0
Male,74,Married,Other/Sub Degree,No,0
Male,85,Widowed,Degree,No,0
Male,75,Married,Other/Sub Degree,No,0
Female,80,Widowed,GCSE/O Level,No,0
Female,37,Married,Degree,No,0
Female,33,Single,Degree,No,0
Male,41,Divorced,A Levels,No,0
Female,81,Widowed,No Qualification,No,0
Female,76,Widowed,No Qualification,Yes,1
Female,58,Married,A Levels,No,0
Male,59,Married,Other/Sub Degree,Yes,1
Female,40,Divorced,GCSE/O Level,Yes,1
Female,54,Divorced,GCSE/O Level,No,0
Male,49,Married,Degree,No,0
Female,79,Widowed,No Qualification,No,0
Male,28,Married,Other/Sub Degree,Yes,1
Male,44,Married,Other/Sub Degree,No,0
Female,42,Single,GCSE/CSE,No,0
Female,36,Single,GCSE/CSE,No,0
Male,89,Widowed,No Qualification,No,0
Female,64,Married,No Qualification,No,0
Female,76,Married,No Qualification,No,0
Female,76,Married,No Qualification,No,0
Female,61,Married,No Qualification,No,0
Female,81,Widowed,GCSE/O Level,No,0
Female,20,Single,No Qualification,Yes,1
Female,82,Widowed,No Qualification,No,0
Female,23,Single,GCSE/O Level,Yes,1
Male,41,Married,GCSE/O Level,No,0
Female,31,Single,A Levels,No,0
Female,44,Married,A Levels,Yes,1
Female,42,Married,Degree,No,0
Male,67,Widowed,No Qualification,Yes,1
Male,53,Married,Degree,No,0
Male,76,Married,No Qualification,No,0
Male,40,Married,Other/Sub Degree,Yes,1
Male,44,Married,A Levels,No,0
Female,31,Separated,GCSE/O Level,Yes,1
Male,43,Divorced,Other/Sub Degree,Yes,1
Female,36,Separated,A Levels,No,0
Female,34,Divorced,GCSE/O Level,No,0
Female,18,Single,GCSE/O Level,Yes,1
Male,56,Married,No Qualification,No,0
Female,73,Married,No Qualification,No,0
Female,22,Single,GCSE/CSE,Yes,1
Female,33,Single,GCSE/CSE,No,0
Male,27,Single,ONC/BTEC,Yes,1
Female,33,Married,GCSE/O Level,No,0
Female,63,Married,No Qualification,No,0
Female,64,Married,A Levels,No,0
Male,54,Married,Degree,No,0
Female,34,Married,Degree,No,0
Male,78,Married,No Qualification,No,0
Female,54,Married,No Qualification,No,0
Male,56,Separated,GCSE/CSE,No,0
Male,78,Widowed,No Qualification,No,0
Female,37,Married,A Levels,No,0
Male,54,Married,Degree,No,0
Female,40,Married,GCSE/O Level,Yes,1
